sigma	C	AUC
1e-6	1e-4	0.899
1e-6	0.001	0.897
1e-6	0.01	0.883
1e-5	1e-4	0.8911666666666667
1e-5	0.001	0.87716666666666665
1e-5	0.01	0.8791666666666667
1e-6	1e-4	0.8598333333333333
1e-6	0.001	0.8538333333333333
1e-6	0.01	0.8188333333333333
1e-5	1e-4	0.8653333333333333
1e-5	0.001	0.8353333333333334
1e-5	0.01	0.8343333333333334
1e-6	1e-4	0.9085
1e-6	0.001	0.9025
1e-6	0.01	0.8925
1e-5	1e-4	0.9015
1e-5	0.001	0.8875
1e-5	0.01	0.8948333333333334
1e-6	1e-4	0.9008333333333334
1e-6	0.001	0.8988333333333334
1e-6	0.01	0.8708333333333333
1e-5	1e-4	0.9015
1e-5	0.001	0.8795
1e-5	0.01	0.8616666666666667
1e-6	1e-4	0.8823333333333333
1e-6	0.001	0.8823333333333333
1e-6	0.01	0.8683333333333333
1e-5	1e-4	0.893
1e-5	0.001	0.877
1e-5	0.01	0.8788333333333334
1e-6	1e-4	0.84
1e-6	0.001	0.84
1e-6	0.01	0.828
1e-5	1e-4	0.8538333333333333
1e-5	0.001	0.8338333333333333
1e-5	0.01	0.8268333333333333
1e-6	1e-4	0.9023333333333333
1e-6	0.001	0.9003333333333333
1e-6	0.01	0.8723333333333333
1e-5	1e-4	0.902
1e-5	0.001	0.882
1e-5	0.01	0.8663333333333333
1e-6	1e-4	0.8848333333333334
1e-6	0.001	0.8848333333333334
1e-6	0.01	0.8628333333333333
1e-5	1e-4	0.8791666666666667
1e-5	0.001	0.8691666666666666
1e-5	0.01	0.854
1e-6	1e-4	0.9516666666666667
1e-6	0.001	0.9516666666666667
1e-6	0.01	0.9516666666666667
1e-5	1e-4	0.9521666666666667
1e-5	0.001	0.9521666666666667
1e-5	0.01	0.9521666666666667
1e-6	1e-4	0.8455
1e-6	0.001	0.8435
1e-6	0.01	0.8255
1e-5	1e-4	0.8506666666666667
1e-5	0.001	0.8333333333333334
1e-5	0.01	0.8231666666666667
1e-6	1e-4	0.8976666666666666
1e-6	0.001	0.8976666666666666
1e-6	0.01	0.857
1e-5	1e-4	0.9043333333333333
1e-5	0.001	0.8643333333333333
1e-5	0.01	0.8685
1e-6	1e-4	0.8855
1e-6	0.001	0.8835
1e-6	0.01	0.8734999999999999
1e-5	1e-4	0.8846666666666667
1e-5	0.001	0.8746666666666667
1e-5	0.01	0.8693333333333333
1e-6	1e-4	0.9468333333333333
1e-6	0.001	0.9468333333333333
1e-6	0.01	0.9308333333333333
1e-5	1e-4	0.9506666666666667
1e-5	0.001	0.9426666666666667
1e-5	0.01	0.928
1e-6	1e-4	0.8978333333333334
1e-6	0.001	0.8958333333333334
1e-6	0.01	0.8858333333333334
1e-5	1e-4	0.9026666666666666
1e-5	0.001	0.8886666666666667
1e-5	0.01	0.889
1e-6	1e-4	0.8698333333333333
1e-6	0.001	0.8578333333333333
1e-6	0.01	0.8408333333333333
1e-5	1e-4	0.8744999999999999
1e-5	0.001	0.8545
